voltage,current,frequency,breaker_status,transformer_temp,fault_cluster,fault_type,predicted_fault
251.42064579270914,16.090876275971393,49.70889880123801,0,63.54085368570718,0,Over/Under Voltage,Over/Under Voltage
215.198138690506,11.244683681767292,49.05357265228463,0,54.95747152095943,2,Normal,Normal
257.4864115872909,28.31565641011726,49.27266078905063,0,64.21606164736019,0,Over/Under Voltage,Over/Under Voltage
235.14116277161875,40.288139805518774,50.08140147218548,1,55.595120964921996,1,Short Circuit,Short Circuit
223.18137739848456,39.85041229189209,50.08960835448854,1,59.06603274704304,1,Short Circuit,Short Circuit
238.9159640629145,51.35654006910774,49.8926344330078,0,62.540029828161344,1,Short Circuit,Short Circuit
207.14980564917687,34.14742329219351,50.65556526928355,0,60.783722562862316,2,Short Circuit,Short Circuit
255.65001298950827,50.49896156247175,50.566607904743975,0,67.07893440881641,0,Over/Under Voltage,Over/Under Voltage
224.59120834826533,34.48989203465516,50.45927543588667,1,55.89063878436541,1,Short Circuit,Short Circuit
215.14843122949557,15.7853581659006,49.11954091998731,0,63.55462876990972,2,Normal,Normal
238.58363485271767,36.39602982799567,49.62088914269061,1,51.35928279427638,1,Short Circuit,Short Circuit
243.61894431926007,39.85463927004661,49.73049121689101,1,68.44720228582537,0,Short Circuit,Short Circuit
219.23778167916288,26.966702222096497,49.11530307170056,0,55.80583283188482,1,Normal,Normal
247.75837140115925,15.020152820921718,51.321537497804556,1,55.25568527435584,0,Normal,Normal
236.60158234412145,25.28742436591615,50.60144569696592,0,66.56839366450876,1,Normal,Normal
196.50268479397124,19.067318866776258,49.856604657616266,1,62.9302166025454,2,Over/Under Voltage,Over/Under Voltage
222.24748615667394,39.777523158232995,49.88674444585198,1,61.875146701612294,1,Short Circuit,Short Circuit
219.75930682070657,21.309287398255577,49.932496489105695,0,60.92601956704469,1,Normal,Normal
234.63667181706307,23.82742019255178,49.7605731638543,0,62.11189297114538,1,Normal,Normal
214.76863985516454,35.35592883019951,49.95455428456545,1,58.50504359166764,2,Short Circuit,Short Circuit
226.24101705840334,15.678294128872103,49.8322371097249,0,60.74565127983421,1,Normal,Normal
225.66554055444792,44.9705394050451,49.8140320850069,0,60.59940118129534,1,Short Circuit,Short Circuit
235.1723487543711,30.81495226047508,50.0221718790026,1,53.92710316079765,1,Short Circuit,Short Circuit
198.95857054528597,39.36015327543504,49.81063978145369,1,62.71224200586781,2,Over/Under Voltage,Over/Under Voltage
211.68983512677514,30.94516610846874,50.309901276696486,1,64.03206907209301,2,Short Circuit,Short Circuit
259.83743387394384,34.02545020724475,49.945814841692105,0,61.652507572881014,0,Over/Under Voltage,Over/Under Voltage
218.89510353869454,30.083242055054395,50.783682512297965,0,52.57055172644645,1,Normal,Normal
253.59422009911435,21.882306943429683,49.741168670392774,0,59.2651314607389,0,Over/Under Voltage,Over/Under Voltage
230.55739617605903,7.029920795629572,49.83442224160482,1,57.30910344833641,1,Normal,Normal
236.08746034238334,34.89742764515801,50.464548104790275,0,58.86834056104842,1,Short Circuit,Short Circuit
218.65291382764048,25.763538929812945,50.15503153319034,1,63.50347278957631,1,Normal,Normal
245.45594326437006,30.96700002271611,50.13379521374761,0,59.428173488182885,0,Short Circuit,Short Circuit
234.55943773414052,35.21498880857838,49.74508420203383,1,70.67715507997669,1,Short Circuit,Short Circuit
231.32707091570686,25.801173294140963,50.13060021169849,1,56.65570568488677,1,Normal,Normal
234.34153387736953,8.10895809125607,49.594343492852865,1,58.15904296107696,1,Normal,Normal
228.93895117196473,49.250024966652134,49.491042698368396,1,62.7723694527422,1,Short Circuit,Short Circuit
227.171315240517,23.534818150843996,50.070274185633124,1,63.223432057604285,1,Normal,Normal
206.53921948416533,18.58535148740219,49.83019249127199,1,71.04765394099282,2,Normal,Normal
236.43893668774558,43.0298402486223,49.551430966793994,1,63.36887262141981,1,Short Circuit,Short Circuit
236.4090343398924,24.95239551786227,50.036695272131894,1,55.55030919250427,1,Normal,Normal
218.5114825691947,9.841784913339495,50.05912027322285,1,54.14376458062426,1,Normal,Normal
217.3189377412587,5.3539305264709895,51.11211853705392,1,58.838141961294056,2,Normal,Normal
196.45570531200485,22.34536740626517,50.06996331763291,1,60.90708230316764,2,Over/Under Voltage,Over/Under Voltage
218.13353972559207,28.793402837705706,50.42236418137707,1,62.52573454639055,1,Normal,Normal
223.18125892464047,32.57088354516036,49.679954931289856,1,54.970272669540535,1,Short Circuit,Short Circuit
251.66553352069846,26.913098349119362,50.36388883080229,0,58.28892722396328,0,Over/Under Voltage,Over/Under Voltage
212.35296966230038,40.2236231411517,49.8371825401895,1,57.88226535973144,2,Short Circuit,Short Circuit
220.61723773442878,40.32965606583194,50.01440629007402,1,70.62236483378976,1,Short Circuit,Short Circuit
239.1335910490769,23.223900677864144,50.051633260361385,0,67.26557229799656,1,Normal,Normal
212.5555230036125,19.751665125138782,50.18465726211466,0,65.91909509304854,2,Normal,Normal
255.75614316124552,41.22821962705082,50.61641961973055,0,65.1460697056267,0,Over/Under Voltage,Over/Under Voltage
251.66646181304927,29.350749841872272,50.87625565790137,0,59.6850677296407,0,Over/Under Voltage,Over/Under Voltage
210.15405921822781,15.565171584117836,50.28601973770929,1,56.12234435591275,2,Normal,Normal
204.48227728355084,22.04464781620087,49.36858008577621,0,63.16088472234985,2,Over/Under Voltage,Over/Under Voltage
231.86070645986837,20.901465651814284,50.53697378163711,1,62.30416726876538,1,Normal,Normal
242.89817211180033,13.578237718530403,50.13251534296879,1,60.908207700211975,0,Normal,Normal
218.3870122646466,30.01756432358194,49.74939967056481,0,62.02480657457529,1,Normal,Normal
209.92654012860285,51.15946533336525,50.13506715693487,0,64.11103037992251,2,Short Circuit,Short Circuit
245.85138619088065,27.63785601751909,50.297201506039706,0,58.775266056983995,0,Normal,Normal
218.5844556644076,39.29024668923133,50.29535087616509,0,51.65235215955704,1,Short Circuit,Short Circuit
226.69467607412957,41.50932252418841,49.60031538773689,1,59.957848596011935,1,Short Circuit,Short Circuit
